product_id,name,category,sub_category,brand,unit_price,stock_quantity,status,added_date
1,Sesame Garlic Stir-Fry Sauce,Beauty,Cream,Midel,6222,573,Discontinued,2020-12-06
2,Adjustable Resistance Bands,Home,Laptop,Trunyx,8835,934,Discontinued,2020-12-09
3,Pineapple Coconut Rice Mix,Electronics,Shirt,JumpXS,6191,425,Discontinued,2020-12-09
4,BBQ Lentil Chips,Electronics,Shirt,Gabspot,9800,885,Available,2020-12-08
5,Tahini,Beauty,Laptop,Trupe,4830,924,Available,2020-12-17
6,Air Purifier,Apparel,Sofa,Skiptube,5579,965,Discontinued,2020-12-27
7,Denim Jacket,Home,Shirt,Twitterwire,3593,901,Discontinued,2020-12-11
8,Oats,Apparel,Shirt,Blognation,1151,332,Discontinued,2020-12-27
9,Portable Solar Camp Shower,Apparel,Sofa,Zoozzy,8099,599,Available,2020-12-27
10,Classic BBQ Sauce,Electronics,Shirt,Devify,8699,373,Discontinued,2020-12-20
11,Rustic Wooden Picture Frame,Apparel,Sofa,Kwimbee,9860,379,Discontinued,2020-12-27
12,Repair Tool Set for Home Improvement,Home,Laptop,Ozu,155,470,Available,2020-12-18
13,Cocktail Shaker and Mixing Glass Set,Beauty,Sofa,Yodoo,6340,351,Discontinued,2020-12-21
14,Mini Projector for Smartphones,Beauty,Shirt,Tekfly,5587,217,Discontinued,2020-12-30
15,Beef Jerky,Electronics,Cream,Yombu,1793,957,Discontinued,2020-12-14
16,Frozen Salmon Filets,Electronics,Shirt,Dabfeed,7171,753,Available,2020-12-16
17,Sweet Chili Sauce,Apparel,Shirt,Tagtune,6431,206,Available,2020-12-22
18,Smoked Gouda Cheese,Electronics,Shirt,Zooveo,8718,734,Available,2020-12-05
19,Portable Charcoal Grill,Home,Sofa,Yodel,8284,446,Available,2020-12-05
20,Active Racerback Tank,Beauty,Sofa,Mynte,855,528,Discontinued,2020-12-11
21,Creamy Coleslaw Mix,Beauty,Sofa,Feedbug,9228,172,Available,2020-12-15
22,Basketball,Home,Laptop,Kwimbee,9065,467,Discontinued,2020-12-09
23,Silicone Baking Mats,Electronics,Sofa,Linktype,4459,144,Available,2020-12-08
24,Wild Rice Pilaf,Home,Laptop,JumpXS,9357,14,Discontinued,2020-12-02
25,Classic Chicken Noodle Soup,Apparel,Laptop,Tagopia,3690,932,Discontinued,2020-12-13
26,Jennifer's Amazing Lip Balm Kit,Home,Shirt,Twitterbeat,8330,22,Discontinued,2020-12-13
27,Chickpea Pasta,Home,Laptop,Realfire,1601,814,Discontinued,2020-12-29
28,Diced Tomatoes (canned),Apparel,Laptop,Oba,2319,287,Discontinued,2020-12-30
29,Almond Joy Protein Bars,Apparel,Sofa,Janyx,3364,742,Available,2020-12-27
30,Garlic Herb Grilled Chicken,Apparel,Sofa,Thoughtmix,8568,13,Available,2020-12-18
31,Rice Pudding,Home,Laptop,Twitterlist,5529,801,Available,2020-12-03
32,Hibiscus Herbal Tea,Apparel,Shirt,Realbridge,5943,697,Discontinued,2020-12-01
33,Oven-Baked Potato Chips,Home,Shirt,Zoonoodle,7110,101,Available,2020-12-07
34,Elegant Maxi Skirt,Home,Sofa,InnoZ,5412,419,Available,2020-12-12
